alert_number,state,created_at,updated_at,dismissed_at,fixed_at,dependency_name,dependency_scope,vulnerability_package,vulnerability_ecosystem,vulnerability_severity,vulnerability_cve_id,vulnerability_ghsa_id,url,branch_status,reason
83,open,"9/12/2025 0:31","9/12/2025 0:31",,,axios,runtime,axios,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/83,pending,Upstream fix pending; PM2 stack still referenced
82,open,"7/22/2025 6:48","7/22/2025 6:48",,,form-data,runtime,form-data,npm,critical,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/82,resolved_in_branch,Resolved via yarn resolution to 4.0.4 in this branch
81,open,"7/22/2025 6:44","7/22/2025 6:44",,,form-data,development,form-data,npm,critical,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/81,resolved_in_branch,Resolved via yarn resolution to 4.0.4 in this branch
80,open,"7/22/2025 6:32","7/22/2025 6:32",,,form-data,runtime,form-data,npm,critical,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/80,resolved_in_branch,Resolved via yarn resolution to 4.0.4 in this branch
79,open,"7/18/2025 16:18","7/18/2025 16:18",,,on-headers,runtime,on-headers,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/79,resolved_in_branch,Resolved via yarn resolution to 1.1.0 in this branch
78,open,"7/11/2025 22:13","7/11/2025 22:13",,,pm2,runtime,pm2,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/78,pending,Pending PM2 upstream release; consider alternative supervisor
77,open,"7/11/2025 22:05","7/11/2025 22:05",,,pm2,runtime,pm2,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/77,pending,Pending PM2 upstream release; consider alternative supervisor
76,open,"7/1/2025 9:15","7/1/2025 9:15",,,brace-expansion,runtime,brace-expansion,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/76,resolved_in_branch,Resolved via yarn resolution to 2.0.2 in this branch
75,open,"6/12/2025 15:51","6/12/2025 15:51",,,brace-expansion,runtime,brace-expansion,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/75,resolved_in_branch,Resolved via yarn resolution to 2.0.2 in this branch
72,open,"6/3/2025 9:55","6/3/2025 9:55",,,tar-fs,runtime,tar-fs,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/72,resolved_in_branch,Resolved via yarn resolution to 3.0.6 in this branch
71,open,"4/16/2025 17:37","4/16/2025 17:37",,,http-proxy-middleware,runtime,http-proxy-middleware,npm,medium,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/71,pending,Awaiting upstream patch for advisory GHSA-h4gq-6v78-prn7
70,open,"4/16/2025 17:37","4/16/2025 17:37",,,http-proxy-middleware,runtime,http-proxy-middleware,npm,medium,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/70,pending,Awaiting upstream patch for advisory GHSA-h4gq-6v78-prn7
69,open,"4/8/2025 5:37","4/8/2025 5:37",,,axios,runtime,axios,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/69,pending,Upstream fix pending; PM2 stack still referenced
68,open,"3/29/2025 0:57","3/29/2025 0:57",,,tar-fs,runtime,tar-fs,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/68,resolved_in_branch,Resolved via yarn resolution to 3.0.6 in this branch
67,open,"3/28/2025 17:20","3/28/2025 17:20",,,axios,runtime,axios,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/67,pending,Upstream fix pending; PM2 stack still referenced
63,open,"3/25/2025 13:08","3/25/2025 13:08",,,mongoose,development,mongoose,npm,critical,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/63,pending,Mongoose upgrade deferred; casbin adapter incompatible with v8
62,open,"3/25/2025 13:08","3/25/2025 13:08",,,systeminformation,runtime,systeminformation,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/62,resolved_in_branch,Resolved via yarn resolution to 5.23.20 in this branch
61,open,"3/25/2025 13:08","3/25/2025 13:08",,,path-to-regexp,runtime,path-to-regexp,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/61,pending,Express 4 dependency; requires Express 5 upgrade
59,open,"3/25/2025 13:08","3/25/2025 13:08",,,mongoose,development,mongoose,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/59,pending,Mongoose upgrade deferred; casbin adapter incompatible with v8
57,open,"3/25/2025 13:08","3/25/2025 13:08",,,cross-spawn,runtime,cross-spawn,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/57,resolved_in_branch,Resolved via yarn resolution to 7.0.5 in this branch
56,open,"3/25/2025 13:08","3/25/2025 13:08",,,http-proxy-middleware,runtime,http-proxy-middleware,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/56,pending,Awaiting upstream patch for advisory GHSA-h4gq-6v78-prn7
55,open,"3/25/2025 13:08","3/25/2025 13:08",,,fast-xml-parser,runtime,fast-xml-parser,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/55,resolved_in_branch,Resolved via yarn resolution to 4.5.0 in this branch
54,open,"3/25/2025 13:08","3/25/2025 13:08",,,cookie,runtime,cookie,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/54,resolved_in_branch,Resolved via yarn resolution to 0.7.2 in this branch
53,open,"3/25/2025 13:08","3/25/2025 13:08",,,send,runtime,send,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/53,resolved_in_branch,Resolved via yarn resolution to 0.19.0 in this branch
52,open,"3/25/2025 13:08","3/25/2025 13:08",,,serve-static,runtime,serve-static,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/52,resolved_in_branch,Resolved via yarn resolution to 1.16.2 in this branch
51,open,"3/25/2025 13:08","3/25/2025 13:08",,,express,runtime,express,npm,low,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/51,pending,Legacy Express 4 dependency; upgrade to Express 5 planned
50,open,"3/25/2025 13:08","3/25/2025 13:08",,,body-parser,runtime,body-parser,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/50,resolved_in_branch,Resolved via yarn resolution to 1.20.3 in this branch
49,open,"3/25/2025 13:08","3/25/2025 13:08",,,path-to-regexp,runtime,path-to-regexp,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/49,pending,Express 4 dependency; requires Express 5 upgrade
48,open,"3/25/2025 13:08","4/21/2025 12:58",,,micromatch,runtime,micromatch,npm,medium,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/48,resolved_in_branch,Resolved via yarn resolution to 4.0.8 in this branch
47,open,"3/25/2025 13:08","3/25/2025 13:08",,,axios,runtime,axios,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/47,pending,Upstream fix pending; PM2 stack still referenced
46,open,"3/25/2025 13:08","3/25/2025 13:08",,,ws,runtime,ws,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/46,resolved_in_branch,Resolved via yarn resolution to 8.18.0 in this branch
45,open,"3/25/2025 13:08","3/25/2025 13:08",,,@grpc/grpc-js,runtime,@grpc/grpc-js,npm,medium,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/45,resolved_in_branch,Resolved via yarn resolution to 1.12.5 in this branch
44,open,"3/25/2025 13:08","3/25/2025 13:08",,,braces,runtime,braces,npm,high,,,https://api.github.com/repos/eclipse-autowrx/backend-core/dependabot/alerts/44,resolved_in_branch,Resolved via yarn resolution to 3.0.3 in this branch
